timestamp,0 cars,25 cars,50 cars,75 cars
0,4,4,10,62
1,3,13,20,21
2,5,10,21,70
3,13,12,19,68
4,10,17,27,92
5,9,37,39,79
6,10,20,103,99
7,6,17,57,132
8,6,26,458,110
9,6,26,151,108
10,8,35,121,102
11,8,32,196,134
12,11,33,80,111
13,7,40,108,201
14,30,52,120,169
15,9,58,103,172
16,9,94,111,174
17,6,98,90,197
18,9,49,151,219
19,7,72,140,324
20,9,152,267,213
21,11,82,375,195
22,11,128,141,215
23,14,83,220,219
24,14,64,158,313
25,12,70,177,238
26,12,189,177,243
27,30,84,223,225
28,18,104,158,241
29,15,87,306,261
30,9,176,186,258
31,11,111,177,697
32,21,331,151,353
33,14,121,163,431
34,8,260,185,434
35,15,122,187,529
36,19,191,229,336
37,17,140,187,507
38,18,122,281,343
39,14,232,185,435
40,19,132,199,410
41,10,163,212,503
42,15,159,203,587
43,47,120,220,477
44,14,128,243,393
45,17,153,327,712
46,19,604,306,535
47,29,268,348,459
48,52,479,303,567
49,56,193,396,678
50,23,256,289,484
51,25,202,387,548
52,126,204,310,530
53,13,314,246,521
54,20,264,372,618
55,16,369,343,511
56,72,234,440,568
57,31,202,389,927
58,31,232,734,536
59,65,286,396,551
60,14,248,472,702
61,67,231,475,570
62,26,209,471,744
63,28,192,380,526
64,44,327,317,662
65,132,211,597,650
66,199,509,384,804
67,66,308,316,556
68,62,283,470,705
69,88,222,329,629
70,110,322,347,672
71,89,285,439,788
72,113,285,517,727
73,25,379,652,645
74,33,294,488,722
75,29,249,366,833
76,111,260,336,921
77,174,280,569,707
78,28,381,460,798
79,61,251,463,765
80,24,240,750,839
81,29,244,471,802
82,216,471,442,983
83,82,415,485,818
84,50,268,482,711
85,25,309,580,797
86,39,290,637,963
87,138,339,695,895
88,61,282,508,1155
89,32,319,562,1006
90,28,235,428,961
91,31,233,593,1203
92,62,269,657,1153
93,52,279,841,913
94,25,255,612,1026
95,26,243,755,985
96,80,327,728,913
97,83,302,792,1147
98,138,334,733,920
99,134,236,750,1079
100,130,521,645,1298
