timestamp,0 cars,25 cars,50 cars,75 cars
0,9,3,6,29
1,3,5,6,28
2,3,6,7,15
3,4,33,9,20
4,5,3,20,14
5,1,27,8,14
6,4,6,11,11
7,2,4,6,14
8,1,4,12,19
9,0,4,7,10
10,1,4,13,10
11,2,5,9,23
12,1,6,7,12
13,1,7,9,17
14,1,4,8,23
15,1,4,9,9
16,1,10,6,9
17,0,4,7,11
18,1,3,6,11
19,1,7,10,18
20,1,9,25,10
21,1,4,18,9
22,14,4,66,10
23,1,7,7,23
24,1,4,45,14
25,1,4,8,10
26,2,6,9,23
27,2,5,8,9
28,2,12,7,10
29,1,3,9,23
30,1,6,9,10
31,0,4,13,15
32,1,6,7,11
33,1,4,6,11
34,1,11,19,17
35,1,5,8,14
36,1,8,8,10
37,2,4,7,21
38,1,13,7,11
39,0,29,7,12
40,1,5,8,11
41,1,4,7,11
42,1,4,6,22
43,3,7,11,10
44,1,8,8,9
45,0,6,7,22
46,1,9,10,24
47,1,5,7,54
48,2,8,9,13
49,2,4,14,14
50,2,13,7,17
51,4,22,17,32
52,2,6,8,11
53,0,6,7,23
54,1,5,7,10
55,1,34,7,10
56,1,6,7,10
57,14,3,8,17
58,11,4,9,31
59,2,7,8,10
60,6,30,9,38
61,8,4,8,9
62,2,6,6,10
63,2,3,6,14
64,7,5,6,9
65,3,11,7,10
66,3,15,6,13
67,2,5,7,14
68,1,6,6,9
69,1,14,8,20
70,2,15,11,8
71,2,4,9,10
72,2,4,7,11
73,0,4,7,9
74,1,4,7,10
75,1,4,8,10
76,8,4,6,9
77,2,3,6,11
78,1,24,7,10
79,2,6,12,9
80,1,5,7,10
81,1,4,7,10
82,3,5,6,12
83,19,7,8,10
84,2,4,6,10
85,1,4,8,11
86,2,4,23,8
87,1,4,8,16
88,1,4,7,10
89,9,5,9,9
90,2,4,8,13
91,5,3,6,12
92,1,4,7,31
93,2,5,8,10
94,1,5,6,17
95,27,4,14,11
96,36,6,9,11
97,2,4,31,11
98,3,4,7,8
99,1,4,7,9
100,1,4,24,18
