timestamp,0 cars,25 cars,50 cars,75 cars
0,41,22,33,148
1,9,83,59,181
2,15,58,81,225
3,11,111,111,212
4,8,56,110,271
5,15,71,118,246
6,14,64,145,304
7,20,71,176,308
8,11,73,390,285
9,11,82,264,309
10,15,92,397,352
11,16,93,229,346
12,15,99,253,435
13,21,104,443,478
14,23,105,265,437
15,19,126,311,411
16,12,360,247,499
17,14,172,333,610
18,18,171,498,674
19,21,163,681,629
20,15,313,323,626
21,15,308,432,622
22,80,286,392,705
23,26,283,436,659
24,28,225,629,600
25,23,297,722,711
26,23,338,562,882
27,16,240,617,679
28,25,280,765,712
29,35,380,652,772
30,19,425,484,1019
31,17,307,535,953
32,22,530,461,1760
33,50,365,484,920
34,23,556,642,849
35,24,506,654,896
36,54,528,533,993
37,51,507,594,953
38,60,735,554,1391
39,49,756,534,1074
40,37,471,569,1007
41,41,492,598,1099
42,30,379,608,1807
43,93,371,706,2801
44,45,436,903,1350
45,46,676,682,1356
46,51,966,788,1576
47,75,714,848,1282
48,129,777,827,1393
49,104,603,1083,1884
50,73,657,1478,1226
51,67,639,904,1523
52,159,655,722,1365
53,45,547,775,1582
54,42,609,743,1258
55,65,660,1020,1638
56,88,534,1628,1497
57,98,435,925,3391
58,49,551,1128,1567
59,40,699,892,1456
60,62,695,1134,3747
61,74,582,953,1993
62,48,622,927,3528
63,76,580,857,1623
64,125,541,1055,1401
65,96,598,887,1461
66,162,867,886,1409
67,108,665,966,1490
68,126,673,2357,1802
69,109,565,996,1686
70,314,555,1018,1502
71,208,664,1262,1498
72,301,761,1172,1733
73,226,628,1067,1645
74,280,614,1075,1943
75,229,691,967,1713
76,178,709,1031,4767
77,249,634,1005,2398
78,87,602,1087,1836
79,176,707,1236,1917
80,78,748,1060,1925
81,97,609,1587,2320
82,320,953,3156,1888
83,109,697,1118,4565
84,58,691,1144,2256
85,77,1849,1601,2757
86,82,779,1666,1978
87,172,671,1591,2080
88,95,714,1320,2028
89,113,582,1665,2052
90,93,586,1213,2236
91,84,596,1313,2475
92,141,593,2846,2080
93,101,669,2036,5196
94,104,591,1473,2359
95,87,650,1509,2257
96,452,638,4045,2597
97,88,633,1765,2213
98,350,704,1713,2577
99,93,704,1745,2696
100,69,770,1346,2554
